,dT,Tf,strainrange,df4,dc20,LTE,ratio_dmgs
0,50,275,0.00047386,4.95E-08,2.68E-16,inf,
1,60,275,0.00056108,1.50E-08,2.79E-15,inf,
2,70,275,0.00064913,7.45E-09,2.28E-14,inf,
3,80,275,0.00073794,5.05E-09,1.54E-13,inf,
4,90,275,0.00082744,4.18E-09,8.86E-13,inf,
5,100,275,0.0009176,3.96E-09,4.47E-12,inf,
6,110,275,0.0010084,4.11E-09,2.02E-11,inf,
7,120,275,0.00109983,4.55E-09,8.27E-11,inf,
8,130,275,0.00119186,5.25E-09,3.12E-10,inf,
9,140,275,0.00128449,6.25E-09,1.09E-09,inf,
10,150,275,0.00137773,7.59E-09,3.56E-09,inf,
11,160,275,0.0014717,2.70E-08,1.01E-08,inf,
12,170,275,0.00156651,3.73E-08,1.92E-08,inf,
13,180,275,0.00166217,5.16E-08,3.59E-08,inf,
14,190,275,0.00175856,7.16E-08,6.58E-08,inf,
15,200,275,0.00185554,9.89E-08,1.19E-07,2715.60274,0.83219826
16,210,275,0.0019532,1.36E-07,2.11E-07,1908.219178,0.644132709
17,220,275,0.00205166,1.86E-07,3.70E-07,1339.227397,0.502986116
18,230,275,0.00215119,2.53E-07,6.40E-07,938.3589041,0.396095356
19,240,275,0.00225184,3.43E-07,1.10E-06,655.5917808,0.312727046
20,250,275,0.00235312,4.60E-07,1.86E-06,457.2684932,0.247672755
21,260,275,0.00245488,6.11E-07,3.11E-06,318.369863,0.196699674
22,270,275,0.00255724,8.05E-07,5.13E-06,221.2438356,0.156888756
23,280,275,0.00266033,1.05E-06,8.38E-06,153.4356164,0.125704071
24,290,275,0.00276425,1.37E-06,1.35E-05,106.4054795,0.101535518
25,300,275,0.00286904,1.76E-06,2.13E-05,73.7260274,0.082396277
26,50,300,0.00048008,4.44E-08,4.24E-15,inf,
27,60,300,0.00056855,1.39E-08,3.86E-14,inf,
28,70,300,0.00065786,7.09E-09,2.79E-13,inf,
29,80,300,0.00074793,4.90E-09,1.68E-12,inf,
30,90,300,0.00083868,4.13E-09,8.74E-12,inf,
31,100,300,0.0009301,3.97E-09,4.01E-11,inf,
32,110,300,0.00102215,4.16E-09,1.66E-10,inf,
33,120,300,0.00111483,4.64E-09,6.27E-10,inf,
34,130,300,0.00120818,1.18E-08,2.19E-09,inf,
35,140,300,0.00130234,1.56E-08,7.13E-09,inf,
36,150,300,0.00139736,2.11E-08,2.18E-08,inf,
37,160,300,0.0014932,2.91E-08,5.25E-08,inf,
38,170,300,0.00158965,4.03E-08,9.51E-08,inf,
39,180,300,0.00168674,5.61E-08,1.70E-07,inf,
40,190,300,0.00178458,7.81E-08,2.98E-07,2736.978082,0.261951835
41,200,300,0.00188328,1.08E-07,5.17E-07,1835.70137,0.209474961
42,210,300,0.00198322,1.50E-07,8.87E-07,1225.342466,0.168880943
43,220,300,0.00208397,2.06E-07,1.51E-06,815.0958904,0.13662773
44,230,300,0.00218518,2.81E-07,2.53E-06,541.369863,0.11086516
45,240,300,0.00228691,3.80E-07,4.20E-06,359.4575342,0.090313417
46,250,300,0.00238937,5.09E-07,6.89E-06,238.7726027,0.073897529
47,260,300,0.00249264,6.77E-07,1.11E-05,159.0684932,0.060876036
48,270,300,0.00259681,8.94E-07,1.77E-05,106.2794521,0.050402797
49,280,300,0.00270184,1.17E-06,2.79E-05,71.29589041,0.041931901
50,290,300,0.00280764,1.52E-06,4.35E-05,47.96438356,0.034939161
51,300,300,0.00291404,1.95E-06,6.68E-05,32.45753425,0.029232833
52,50,325,0.00048619,4.01E-08,5.40E-14,inf,
53,60,325,0.00057587,1.30E-08,4.35E-13,inf,
54,70,325,0.00066641,6.77E-09,2.82E-12,inf,
55,80,325,0.00075768,4.78E-09,1.53E-11,inf,
56,90,325,0.00084965,4.09E-09,7.27E-11,inf,
57,100,325,0.00094229,3.97E-09,3.07E-10,inf,
58,110,325,0.00103573,7.87E-09,1.17E-09,inf,
59,120,325,0.00113003,9.58E-09,4.12E-09,inf,
60,130,325,0.00122519,1.23E-08,1.35E-08,inf,
61,140,325,0.00132106,1.65E-08,4.12E-08,inf,
62,150,325,0.00141754,2.26E-08,1.19E-07,inf,
63,160,325,0.00151473,3.13E-08,2.43E-07,inf,
64,170,325,0.00161273,4.36E-08,4.22E-07,inf,
65,180,325,0.00171178,6.11E-08,7.25E-07,2149.123288,0.084318878
66,190,325,0.00181189,8.56E-08,1.23E-06,1366.819178,0.069309827
67,200,325,0.0019125,1.19E-07,2.08E-06,869.0794521,0.057337125
68,210,325,0.00201359,1.65E-07,3.46E-06,553.6109589,0.047669714
69,220,325,0.00211535,2.27E-07,5.70E-06,354.0219178,0.039850568
70,230,325,0.00221794,3.10E-07,9.25E-06,227.6136986,0.033501284
71,240,325,0.00232143,4.20E-07,1.48E-05,147.5424658,0.028370936
72,250,325,0.0024258,5.64E-07,2.34E-05,96.30410959,0.024122214
73,260,325,0.002531,7.51E-07,3.65E-05,63.32054795,0.020574389
74,270,325,0.00263684,9.92E-07,5.65E-05,41.90410959,0.017563434
75,280,325,0.00274317,1.30E-06,8.63E-05,27.95342466,0.015019808
76,290,325,0.00285,1.68E-06,0.00013049,18.81643836,0.012879139
77,300,325,0.00295757,2.16E-06,0.000194496,12.80821918,0.011103763
78,50,350,0.00049228,3.63E-08,5.68E-13,inf,
79,60,350,0.00058318,1.21E-08,4.09E-12,inf,
80,70,350,0.00067492,6.48E-09,2.40E-11,inf,
81,80,350,0.00076747,8.44E-09,1.19E-10,inf,
82,90,350,0.00086094,7.05E-09,5.22E-10,inf,
83,100,350,0.00095531,7.09E-09,2.04E-09,inf,
84,110,350,0.00105052,8.08E-09,7.29E-09,inf,
85,120,350,0.00114636,9.98E-09,2.40E-08,inf,
86,130,350,0.00124287,1.30E-08,7.35E-08,inf,
87,140,350,0.00134017,1.75E-08,2.12E-07,inf,
88,150,350,0.00143835,2.42E-08,5.76E-07,inf,
89,160,350,0.00153771,3.38E-08,1.02E-06,2066.583562,0.0330893
90,170,350,0.00163773,4.75E-08,1.72E-06,1274.473973,0.027596942
91,180,350,0.00173819,6.68E-08,2.87E-06,788.4356164,0.023253343
92,190,350,0.00183924,9.37E-08,4.74E-06,490.8356164,0.019774632
93,200,350,0.00194114,1.31E-07,7.72E-06,307.8520548,0.016946241
94,210,350,0.00204393,1.82E-07,1.24E-05,195.2493151,0.014657851
95,220,350,0.00214762,2.51E-07,1.97E-05,124.9972603,0.012744864
96,230,350,0.00225216,3.43E-07,3.08E-05,80.83287671,0.011131422
97,240,350,0.00235744,4.65E-07,4.78E-05,52.70410959,0.009733762
98,250,350,0.00246331,6.25E-07,7.32E-05,34.74520548,0.00853925
