,dT,Tf,strainrange,df4,dc20,LTE,ratio_dmgs
0,50,275,0.0004648,1.99E-130,2.01E-19,inf,
1,60,275,0.00055277,2.18E-110,8.11E-18,inf,
2,70,275,0.00064165,5.75E-95,2.05E-16,inf,
3,80,275,0.00073137,9.65E-83,3.61E-15,inf,
4,90,275,0.00082185,7.86E-73,4.75E-14,inf,
5,100,275,0.00091305,1.20E-64,4.92E-13,inf,
6,110,275,0.00100496,8.61E-58,4.17E-12,inf,
7,120,275,0.00109756,5.64E-52,2.98E-11,inf,
8,130,275,0.00119083,5.45E-47,1.56E-10,inf,
9,140,275,0.0012847,1.11E-42,3.55E-10,inf,
10,150,275,0.00137908,6.18E-39,7.87E-10,inf,
11,160,275,0.00147397,5.30E-33,1.71E-09,inf,
12,170,275,0.00156936,2.66E-30,3.65E-09,inf,
13,180,275,0.00166526,6.51E-28,7.62E-09,inf,
14,190,275,0.00176166,8.66E-26,1.55E-08,inf,
15,200,275,0.00185858,6.81E-24,3.15E-08,inf,
16,210,275,0.001956,3.39E-22,6.24E-08,inf,
17,220,275,0.00205393,1.14E-20,1.21E-07,inf,
18,230,275,0.00215236,2.70E-19,2.32E-07,inf,
19,240,275,0.00225123,4.72E-18,4.37E-07,inf,
20,250,275,0.00235049,6.28E-17,8.10E-07,inf,
21,260,275,0.00245009,6.57E-16,1.48E-06,1853.284932,4.44E-10
22,270,275,0.00255728,1.82E-13,3.76E-06,729.4821918,4.85E-08
23,280,275,0.00267306,1.30E-12,8.85E-06,309.490411,1.47E-07
24,290,275,0.00279046,7.79E-12,1.93E-05,141.6849315,4.03E-07
25,300,275,0.00291004,3.98E-11,3.98E-05,68.87123288,1.00E-06
26,50,300,0.00047175,1.28E-128,6.22E-18,inf,
27,60,300,0.00056111,9.15E-109,1.99E-16,inf,
28,70,300,0.0006514,1.70E-93,4.11E-15,inf,
29,80,300,0.00074251,2.09E-81,6.04E-14,inf,
30,90,300,0.00083439,1.31E-71,6.77E-13,inf,
31,100,300,0.00092699,1.58E-63,6.07E-12,inf,
32,110,300,0.00102027,9.23E-57,4.51E-11,inf,
33,120,300,0.0011141,4.94E-51,2.85E-10,inf,
34,130,300,0.00120846,8.26E-43,1.24E-09,inf,
35,140,300,0.00130334,7.60E-39,2.66E-09,inf,
36,150,300,0.00139874,2.12E-35,5.57E-09,inf,
37,160,300,0.00149465,2.19E-32,1.15E-08,inf,
38,170,300,0.00159108,9.82E-30,2.32E-08,inf,
39,180,300,0.00168803,2.18E-27,4.62E-08,inf,
40,190,300,0.00178549,2.66E-25,9.04E-08,inf,
41,200,300,0.00188346,1.93E-23,1.74E-07,inf,
42,210,300,0.00198191,8.93E-22,3.30E-07,inf,
43,220,300,0.00208077,2.79E-20,6.15E-07,inf,
44,230,300,0.00217999,6.20E-19,1.13E-06,2425.350685,5.49E-13
45,240,300,0.00227956,5.82E-16,2.04E-06,1340.438356,2.85E-10
46,250,300,0.00237951,5.55E-15,3.64E-06,751.660274,1.52E-09
47,260,300,0.00247982,4.29E-14,5.35E-06,511.6712329,8.01E-09
48,270,300,0.00259011,3.26E-13,1.56E-05,175.2575342,2.08E-08
49,280,300,0.00270711,2.24E-12,3.50E-05,78.29863014,6.39E-08
50,290,300,0.00282536,1.28E-11,7.30E-05,37.54246575,1.75E-07
51,300,300,0.00294623,6.31E-11,0.000143816,19.05205479,4.38E-07
52,50,325,0.00047863,7.13E-127,1.46E-16,inf,
53,60,325,0.00056937,3.38E-107,3.79E-15,inf,
54,70,325,0.00066104,4.43E-92,6.52E-14,inf,
55,80,325,0.00075352,4.04E-80,8.15E-13,inf,
56,90,325,0.00084667,1.91E-70,7.89E-12,inf,
57,100,325,0.0009404,1.77E-62,6.18E-11,inf,
58,110,325,0.00103469,6.71E-52,4.06E-10,inf,
59,120,325,0.00112952,1.32E-46,2.30E-09,inf,
60,130,325,0.00122488,4.43E-42,8.56E-09,inf,
61,140,325,0.00132078,3.53E-38,1.74E-08,inf,
62,150,325,0.00141721,8.69E-35,3.47E-08,inf,
63,160,325,0.00151416,8.03E-32,6.80E-08,inf,
64,170,325,0.00161164,3.27E-29,1.31E-07,inf,
65,180,325,0.00170962,6.65E-27,2.50E-07,inf,
66,190,325,0.00180806,7.46E-25,4.69E-07,inf,
67,200,325,0.00190685,4.99E-23,8.65E-07,inf,
68,210,325,0.00200602,2.14E-21,1.57E-06,1739.838356,1.36E-15
69,220,325,0.00210555,6.22E-18,2.82E-06,970.1315068,2.20E-12
70,230,325,0.00220546,9.33E-17,4.96E-06,552.4054795,1.88E-11
71,240,325,0.00230574,1.07E-15,8.41E-06,325.7835616,1.28E-10
72,250,325,0.0024064,9.80E-15,1.41E-05,194.5178082,6.96E-10
73,260,325,0.00250744,7.28E-14,2.46E-05,111.4849315,2.96E-09
74,270,325,0.00262063,5.49E-13,5.92E-05,46.29589041,9.28E-09
75,280,325,0.00273851,3.62E-12,0.000126843,21.6,2.85E-08
76,290,325,0.00285773,1.99E-11,0.00025335,10.81643836,7.87E-08
77,300,325,0.00297937,9.48E-11,0.00047895,5.720547945,1.98E-07
78,50,350,0.00048552,3.64E-125,2.70E-15,inf,
79,60,350,0.00057759,1.13E-105,5.80E-14,inf,
80,70,350,0.00067045,9.87E-91,8.41E-13,inf,
81,80,350,0.00076398,1.19E-73,9.03E-12,inf,
82,90,350,0.00085813,1.16E-64,7.62E-11,inf,
83,100,350,0.00095287,2.88E-57,5.28E-10,inf,
84,110,350,0.00104819,4.33E-51,3.10E-09,inf,
85,120,350,0.00114406,7.23E-46,1.59E-08,inf,
86,130,350,0.00124047,2.10E-41,5.19E-08,inf,
87,140,350,0.00133743,1.47E-37,1.00E-07,inf,
88,150,350,0.00143491,3.24E-34,1.92E-07,inf,
89,160,350,0.00153288,2.71E-31,3.60E-07,inf,
90,170,350,0.00163125,1.00E-28,6.66E-07,inf,
91,180,350,0.00172999,1.85E-26,1.22E-06,2250.041096,1.52E-20
92,190,350,0.00182911,5.83E-22,2.19E-06,1248.810959,2.66E-16
93,200,350,0.0019286,2.32E-20,3.90E-06,702.7260274,5.94E-15
94,210,350,0.00202847,6.23E-19,6.65E-06,411.8,9.37E-14
95,220,350,0.00212872,1.20E-17,1.12E-05,244.8986301,1.07E-12
96,230,350,0.00222936,1.71E-16,1.86E-05,147.4410959,9.20E-12
97,240,350,0.00233039,1.89E-15,3.05E-05,89.9260274,6.19E-11
98,250,350,0.00243182,1.65E-14,4.92E-05,55.6630137,3.36E-10
99,260,350,0.00253377,1.19E-13,8.62E-05,31.79726027,1.38E-09
100,270,350,0.00264927,8.86E-13,0.000206247,13.28493151,4.29E-09
101,280,350,0.00276788,5.61E-12,0.000423205,6.473972603,1.33E-08
102,290,350,0.00288823,3.00E-11,0.000810326,3.383561644,3.70E-08
103,300,350,0.00301084,3.04E-07,0.001467797,1.865753425,0.000207011
104,50,375,0.00049201,1.36E-123,4.01E-14,inf,
105,60,375,0.0005851,1.28E-97,7.18E-13,inf,
106,70,375,0.00067899,1.17E-83,8.91E-12,inf,
107,80,375,0.00077356,1.20E-72,8.34E-11,inf,
108,90,375,0.00086877,9.30E-64,6.22E-10,inf,
109,100,375,0.00096457,1.90E-56,3.86E-09,inf,
110,110,375,0.00106094,2.42E-50,2.05E-08,inf,
111,120,375,0.00115787,3.49E-45,9.56E-08,inf,
112,130,375,0.00125534,8.90E-41,2.81E-07,inf,
113,140,375,0.00135326,5.55E-37,5.20E-07,inf,
114,150,375,0.00145155,1.09E-33,9.52E-07,inf,
115,160,375,0.00155024,8.15E-31,1.72E-06,1595.208219,4.74E-25
116,170,375,0.0016493,2.17E-25,3.06E-06,894.690411,7.07E-20
117,180,375,0.00174875,2.12E-23,5.29E-06,517.9342466,4.01E-18
118,190,375,0.00184859,1.24E-21,8.92E-06,307.2876712,1.39E-16
119,200,375,0.00194882,4.65E-20,1.49E-05,184.4191781,3.13E-15
120,210,375,0.00204943,1.19E-18,2.45E-05,112.0520548,4.86E-14
121,220,375,0.00215045,2.18E-17,3.92E-05,69.9260274,5.56E-13
122,230,375,0.0022519,2.99E-16,6.34E-05,43.22191781,4.71E-12
123,240,375,0.00235378,3.17E-15,9.91E-05,27.64109589,3.20E-11
124,250,375,0.00245608,2.69E-14,0.000150138,18.24931507,1.79E-10
125,260,375,0.00255904,1.88E-13,0.000265804,10.30958904,7.07E-10
126,270,375,0.00267608,1.37E-12,0.000659069,4.15890411,2.08E-09
127,280,375,0.00279583,5.81E-08,0.001294857,2.115068493,4.49E-05
128,290,375,0.00291892,1.57E-07,0.002354817,1.164383562,6.66E-05
129,300,375,0.00304575,3.84E-07,0.003949506,0.693150685,9.73E-05
130,50,400,0.00049772,1.44E-114,4.83E-13,inf,
131,60,400,0.00059188,1.75E-96,7.36E-12,inf,
132,70,400,0.00068683,1.21E-82,7.94E-11,inf,
133,80,400,0.00078247,9.84E-72,6.56E-10,inf,
134,90,400,0.00087874,6.28E-63,4.38E-09,inf,
135,100,400,0.00097561,1.09E-55,2.46E-08,inf,
136,110,400,0.00107301,1.19E-49,1.19E-07,inf,
137,120,400,0.00117082,1.48E-44,5.10E-07,inf,
138,130,400,0.00126904,3.28E-40,1.37E-06,2004.290411,2.40E-34
139,140,400,0.00136765,1.07E-32,2.44E-06,1125.016438,4.41E-27
140,150,400,0.00146666,8.51E-30,4.26E-06,643.5561644,2.00E-24
141,160,400,0.00156607,2.89E-27,7.17E-06,381.8821918,4.03E-22
142,170,400,0.00166588,4.84E-25,1.20E-05,229.0356164,4.05E-20
143,180,400,0.00176608,4.46E-23,1.97E-05,138.9342466,2.26E-18
144,190,400,0.00186668,2.46E-21,3.21E-05,85.32876712,7.67E-17
145,200,400,0.0019677,8.79E-20,5.15E-05,53.19178082,1.71E-15
146,210,400,0.00206917,2.15E-18,8.11E-05,33.79452055,2.66E-14
147,220,400,0.00217106,3.79E-17,0.000124177,22.06575342,3.06E-13
148,230,400,0.0022734,5.02E-16,0.000182232,15.03561644,2.76E-12
149,240,400,0.00237626,5.18E-15,0.000250341,10.94520548,2.07E-11
150,250,400,0.0024797,2.25E-09,0.000170194,16.09589041,1.32E-05
151,260,400,0.00258575,7.62E-09,0.000715424,3.830136986,1.06E-05
152,270,400,0.00270405,2.53E-08,0.001869074,1.465753425,1.35E-05
153,280,400,0.00282957,7.73E-08,0.003344847,0.819178082,2.31E-05
154,290,400,0.00296176,2.15E-07,0.005365612,0.512328767,4.01E-05
155,300,400,0.00310121,5.49E-07,0.007638056,0.35890411,7.18E-05
156,50,425,0.00050312,2.24E-113,4.88E-12,inf,
157,60,425,0.00059835,2.03E-95,6.42E-11,inf,
158,70,425,0.00069436,1.09E-81,6.10E-10,inf,
159,80,425,0.00079106,7.20E-71,4.50E-09,inf,
160,90,425,0.00088829,3.77E-62,2.71E-08,inf,
161,100,425,0.00098596,5.38E-55,1.38E-07,inf,
162,110,425,0.00108407,4.95E-49,6.13E-07,inf,
163,120,425,0.00118261,2.02E-39,2.40E-06,1139.432877,8.39E-34
164,130,425,0.00128156,1.39E-35,5.83E-06,469.690411,2.38E-30
165,140,425,0.00138091,2.78E-32,9.77E-06,280.5424658,2.84E-27
166,150,425,0.00148068,2.03E-29,1.61E-05,170.2739726,1.26E-24
167,160,425,0.00158086,6.45E-27,2.60E-05,105.4,2.48E-22
168,170,425,0.00168145,1.02E-24,4.21E-05,65.05753425,2.41E-20
169,180,425,0.00178248,8.87E-23,6.65E-05,41.17808219,1.33E-18
170,190,425,0.00188395,4.68E-21,0.000102714,26.6739726,4.55E-17
171,200,425,0.00198586,1.60E-19,0.000152793,17.93150685,1.05E-15
172,210,425,0.00208827,3.78E-18,0.000214682,12.76438356,1.76E-14
173,220,425,0.00219123,6.46E-17,0.000276271,9.917808219,2.34E-13
174,230,425,0.00229479,1.82E-10,0.000313086,8.750684932,5.83E-07
175,240,425,0.00239882,8.01E-10,0.00028614,9.575342466,2.80E-06
176,250,425,0.00250612,3.09E-09,0.000734292,3.731506849,4.21E-06
177,260,425,0.00262148,1.11E-08,0.001616494,1.695890411,6.89E-06
178,270,425,0.00274825,3.82E-08,0.0038208,0.717808219,9.99E-06
179,280,425,0.00288726,1.23E-07,0.005824467,0.471232877,2.11E-05
180,290,425,0.00303323,3.54E-07,0.007625656,0.361643836,4.64E-05
181,300,425,0.00318541,9.07E-07,0.009091532,0.301369863,9.98E-05
182,50,450,0.00050852,3.31E-112,4.24E-11,inf,
183,60,450,0.00060476,2.19E-94,4.86E-10,inf,
184,70,450,0.00070165,8.81E-81,4.09E-09,inf,
185,80,450,0.00079909,4.47E-70,2.70E-08,inf,
186,90,450,0.00089704,5.01E-55,1.48E-07,inf,
187,100,450,0.00099545,1.08E-48,6.90E-07,inf,
188,110,450,0.00109431,2.04E-43,2.82E-06,970.6273973,7.22E-38
189,120,450,0.0011936,5.78E-39,1.03E-05,265.890411,5.61E-34
190,130,450,0.00129333,3.63E-35,2.17E-05,126.1178082,1.67E-30
191,140,450,0.00139348,6.72E-32,3.49E-05,78.56164384,1.93E-27
192,150,450,0.00149406,4.60E-29,5.52E-05,49.6739726,8.33E-25
193,160,450,0.0015951,1.38E-26,8.55E-05,32.05753425,1.61E-22
194,170,450,0.00169658,2.06E-24,0.000128282,21.35890411,1.60E-20
195,180,450,0.00179853,1.72E-22,0.000183254,14.95068493,9.36E-19
196,190,450,0.00190104,8.71E-21,0.000240158,11.40821918,3.63E-17
197,200,450,0.0020041,9.55E-13,0.000287143,9.542465753,3.32E-09
198,210,450,0.00210778,7.72E-12,0.000292286,9.375342466,2.64E-08
199,220,450,0.00221194,4.90E-11,0.000254554,10.76438356,1.93E-07
