,dT,Tf,strainrange,df4,dc20,LTE,ratio_dmgs
0,50,275,0.00046939,5.36E-08,2.33E-16,inf,
1,60,275,0.00055763,1.55E-08,2.49E-15,inf,
2,70,275,0.00064675,7.56E-09,2.07E-14,inf,
3,80,275,0.00073665,5.07E-09,1.41E-13,inf,
4,90,275,0.00082726,4.19E-09,8.15E-13,inf,
5,100,275,0.00091854,3.96E-09,4.13E-12,inf,
6,110,275,0.00101047,4.12E-09,1.87E-11,inf,
7,120,275,0.00110302,4.57E-09,7.69E-11,inf,
8,130,275,0.00119617,5.29E-09,2.90E-10,inf,
9,140,275,0.00128993,6.31E-09,1.02E-09,inf,
10,150,275,0.00138427,7.70E-09,3.32E-09,inf,
11,160,275,0.00147931,2.77E-08,9.18E-09,inf,
12,170,275,0.00157515,3.84E-08,1.75E-08,inf,
13,180,275,0.00167183,5.34E-08,3.26E-08,inf,
14,190,275,0.0017693,7.42E-08,5.99E-08,inf,
15,200,275,0.00186742,1.03E-07,1.08E-07,2650.630137,0.952423158
16,210,275,0.00196618,1.42E-07,1.92E-07,1865.649315,0.740131308
17,220,275,0.0020657,1.95E-07,3.35E-07,1313.241096,0.580369844
18,230,275,0.00216644,2.65E-07,5.78E-07,923.5589041,0.458966054
19,240,275,0.00226836,3.60E-07,9.86E-07,648.8082192,0.364885727
20,250,275,0.00237124,4.84E-07,1.67E-06,455.0109589,0.290282108
21,260,275,0.002475,6.46E-07,2.79E-06,318.6465753,0.231638096
22,270,275,0.00257941,8.54E-07,4.61E-06,222.8136986,0.185253119
23,280,275,0.00268427,1.12E-06,7.53E-06,155.6164384,0.148563531
24,290,275,0.00278999,1.45E-06,1.22E-05,108.5205479,0.119688541
25,300,275,0.0028965,1.88E-06,1.93E-05,75.69041096,0.097070367
26,50,300,0.00047561,4.80E-08,3.73E-15,inf,
27,60,300,0.00056512,1.44E-08,3.47E-14,inf,
28,70,300,0.00065551,7.19E-09,2.54E-13,inf,
29,80,300,0.00074667,4.92E-09,1.55E-12,inf,
30,90,300,0.00083855,4.13E-09,8.09E-12,inf,
31,100,300,0.00093109,3.97E-09,3.73E-11,inf,
32,110,300,0.00102427,4.17E-09,1.55E-10,inf,
33,120,300,0.00111806,4.66E-09,5.86E-10,inf,
34,130,300,0.00121251,1.19E-08,2.05E-09,inf,
35,140,300,0.00130774,1.58E-08,6.68E-09,inf,
36,150,300,0.00140381,2.16E-08,2.05E-08,inf,
37,160,300,0.00150073,2.98E-08,4.84E-08,inf,
38,170,300,0.00159833,4.16E-08,8.75E-08,inf,
39,180,300,0.00169656,5.80E-08,1.56E-07,inf,
40,190,300,0.00179551,8.10E-08,2.73E-07,2733.279452,0.296392783
