,ratio_dmgs,dT,Tf,LTE
157,1.26E-10,250,375,16.74246575
158,7.66E-10,260,375,9.980821918
159,1.93E-09,270,375,3.62739726
160,4.02E-05,280,375,1.863013699
161,6.01E-05,290,375,1.054794521
162,9.06E-05,300,375,0.657534247
163,0.000138658,310,375,0.454794521
164,0.00022102,320,375,0.347945205
165,0.000357675,330,375,0.287671233
166,0.000579052,340,375,0.252054795
167,0.000908877,350,375,0.230136986
168,0.001374488,360,375,0.216438356
169,0.001992467,370,375,0.205479452
170,,40,400,inf
171,,50,400,inf
172,,60,400,inf
173,,70,400,inf
174,,80,400,inf
175,,90,400,inf
176,,100,400,inf
177,,110,400,inf
178,,120,400,inf
179,1.48E-34,130,400,1728.276712
180,2.76E-27,140,400,963.5369863
181,1.26E-24,150,400,557.3753425
182,2.52E-22,160,400,329.0849315
183,2.52E-20,170,400,196.5616438
184,1.41E-18,180,400,118.9150685
185,4.82E-17,190,400,73.06575342
186,1.09E-15,200,400,45.8109589
187,1.72E-14,210,400,29.57534247
188,2.06E-13,220,400,19.9890411
189,1.97E-12,230,400,14.50136986
190,1.65E-11,240,400,11.6739726
191,1.22E-05,250,400,16.15890411
192,1.06E-05,260,400,3.567123288
193,1.33E-05,270,400,1.375342466
194,2.29E-05,280,400,0.802739726
195,4.12E-05,290,400,0.536986301
196,7.66E-05,300,400,0.402739726
197,0.000144309,310,400,0.331506849
198,0.00026678,320,400,0.290410959
199,0.000472053,330,400,0.265753425
200,0.000791201,340,400,0.246575342
201,0.001269432,350,400,0.235616438
202,0.001891248,360,400,0.224657534
203,0.008488314,370,400,0.21369863
204,,40,425,inf
205,,50,425,inf
206,,60,425,inf
207,,70,425,inf
208,,80,425,inf
209,,90,425,inf
210,,100,425,inf
211,,110,425,inf
212,5.97E-34,120,425,1056.079452
213,1.56E-30,130,425,412.4794521
214,1.85E-27,140,425,246.5917808
215,8.10E-25,150,425,149.1013699
216,1.57E-22,160,425,91.37260274
217,1.54E-20,170,425,56.95616438
218,8.58E-19,180,425,36.35342466
219,3.05E-17,190,425,24.58082192
220,7.17E-16,200,425,16.92328767
221,1.29E-14,210,425,12.99452055
222,1.95E-13,220,425,11.30958904
223,6.32E-07,230,425,11.47123288
224,3.32E-06,240,425,13.47671233
225,4.39E-06,250,425,3.605479452
226,7.36E-06,260,425,1.728767123
227,1.46E-05,270,425,1.038356164
228,3.11E-05,280,425,0.704109589
229,6.34E-05,290,425,0.528767123
230,0.000136502,300,425,0.457534247
231,0.000279772,310,425,0.41369863
232,0.000535564,320,425,0.389041096
233,0.000955155,330,425,0.369863014
234,0.009971505,340,425,0.331506849
235,0.01211575,350,425,0.315068493
236,0.014408534,360,425,0.304109589
237,0.016708244,370,425,0.290410959
238,,40,450,inf
239,,50,450,inf
240,,60,450,inf
241,,70,450,inf
242,,80,450,inf
243,,90,450,inf
244,,100,450,inf
245,5.51E-38,110,450,911.2684932
246,4.08E-34,120,450,248.739726
247,1.13E-30,130,450,112.6191781
248,1.29E-27,140,450,70.92054795
249,5.47E-25,150,450,44.47671233
250,1.06E-22,160,450,29.07945205
251,1.07E-20,170,450,19.94794521
252,6.48E-19,180,450,14.73972603
253,2.71E-17,190,450,12.15342466
254,3.22E-09,200,450,11.56164384
255,2.94E-08,210,450,12.85205479
256,2.39E-07,220,450,16.11780822
257,1.67E-06,230,450,21.48493151
258,1.74E-06,240,450,3.898630137
259,3.51E-06,250,450,1.917808219
260,8.36E-06,260,450,1.205479452
261,2.14E-05,270,450,0.893150685
262,5.37E-05,280,450,0.731506849
263,0.000126793,290,450,0.638356164
264,0.000281173,300,450,0.583561644
265,0.000552362,310,450,0.534246575
266,0.009756044,320,450,0.465753425
267,0.012229273,330,450,0.435616438
268,0.014839006,340,450,0.410958904
269,0.017511653,350,450,0.38630137
270,0.020017466,360,450,0.361643836
271,0.020017466,370,450,0.361643836
272,,40,475,inf
273,,50,475,inf
274,,60,475,inf
275,,70,475,inf
276,,80,475,inf
277,,90,475,inf
278,9.39E-43,100,475,837.2821918
279,3.93E-38,110,475,220.769863
280,2.90E-34,120,475,65.91780822
281,8.57E-31,130,475,34.85479452
282,9.73E-28,140,475,23.5369863
283,4.35E-25,150,475,16.90410959
284,9.37E-23,160,475,13.32876712
285,1.23E-20,170,475,11.96164384
286,3.42E-11,180,475,12.52328767
287,6.04E-10,190,475,15.0630137
288,8.37E-09,200,475,19.70958904
289,8.96E-08,210,475,26.41917808
290,1.15E-06,220,475,54.17260274
291,6.47E-07,230,475,4.482191781
292,1.59E-06,240,475,2.24109589
293,4.64E-06,250,475,1.465753425
294,1.39E-05,260,475,1.115068493
295,3.92E-05,270,475,0.928767123
296,0.000101631,280,475,0.81369863
297,0.006068664,290,475,0.701369863
298,0.008384692,300,475,0.64109589
299,0.010951332,310,475,0.589041096
300,0.013790571,320,475,0.539726027
301,0.016826489,330,475,0.501369863
302,0.019582693,340,475,0.457534247
303,0.019582693,350,475,0.457534247
304,0.019582693,360,475,0.457534247
305,0.019582693,370,475,0.457534247
306,,40,500,inf
307,,50,500,inf
308,,60,500,inf
309,,70,500,inf
310,,80,500,inf
311,1.81E-48,90,500,824.6383562
312,6.99E-43,100,500,207.8630137
313,2.94E-38,110,500,60.84383562
314,2.35E-34,120,500,21.8739726
315,8.03E-31,130,500,14.84383562
316,1.08E-27,140,500,12.69041096
317,1.50E-15,150,500,12.53150685
318,9.51E-14,160,500,14.35616438
319,3.94E-12,170,500,18.25479452
320,1.09E-10,180,500,24.29589041
321,2.02E-09,190,500,32.08219178
322,2.59E-08,200,500,40.81369863
323,3.11E-07,210,500,64.34520548
324,2.21E-07,220,500,5.44109589
325,6.85E-07,230,500,2.77260274
326,2.43E-06,240,500,1.854794521
327,8.45E-06,250,500,1.424657534
328,2.79E-05,260,500,1.208219178
329,0.004262264,270,500,1.008219178
330,0.006402546,280,500,0.901369863
331,0.008947652,290,500,0.808219178
332,0.011790406,300,500,0.726027397
333,0.01486864,310,500,0.652054795
334,0.01486864,320,500,0.652054795
335,0.01486864,330,500,0.652054795
336,0.01486864,340,500,0.652054795
337,0.01486864,350,500,0.652054795
338,0.01486864,360,500,0.652054795
339,0.01486864,370,500,0.652054795
340,,40,525,inf
341,,50,525,inf
342,,60,525,inf
343,,70,525,inf
344,1.97E-55,80,525,881.2054795
345,1.40E-48,90,525,209.7369863
346,5.44E-43,100,525,60.11232877
347,2.59E-38,110,525,22.68493151
348,3.13E-34,120,525,13.64657534
349,1.41E-19,130,525,14.27123288
350,3.81E-17,140,525,17.5260274
351,5.12E-15,150,525,23.14520548
352,3.52E-13,160,525,30.2
353,1.38E-11,170,525,38.64109589
354,3.33E-10,180,525,47.66849315
355,5.40E-09,190,525,57.9890411
356,6.89E-08,200,525,76.10410959
357,6.90E-08,210,525,6.97260274
358,2.69E-07,220,525,3.567123288
359,1.16E-06,230,525,2.4
360,0.001458497,240,525,1.824657534
361,0.00250622,250,525,1.504109589
362,0.004069646,260,525,1.290410959
363,0.006194681,270,525,1.123287671
364,0.008811521,280,525,0.980821918
365,0.008811521,290,525,0.980821918
366,0.008811521,300,525,0.980821918
367,0.008811521,310,525,0.980821918
368,0.008811521,320,525,0.980821918
369,0.008811521,330,525,0.980821918
370,0.008811521,340,525,0.980821918
371,0.029441853,350,525,0.838356164
372,0.029441853,360,525,0.838356164
373,0.029441853,370,525,0.838356164
374,,40,550,inf
375,,50,550,inf
376,,60,550,inf
377,4.69E-64,70,550,1032.030137
378,1.64E-55,80,550,228.1369863
379,1.17E-48,90,550,63.62465753
380,7.15E-29,100,550,25.52328767
381,3.56E-25,110,550,18.24931507
382,8.11E-22,120,550,22.15890411
383,6.06E-19,130,550,30.05205479
384,1.60E-16,140,550,38.54520548
385,1.88E-14,150,550,48.05479452
386,1.10E-12,160,550,57.15068493
387,3.85E-11,170,550,68.8109589
388,8.62E-10,180,550,81.8630137
389,1.91E-08,190,550,140.4383562
390,1.88E-08,200,550,9.22739726
391,9.42E-08,210,550,4.761643836
392,0.000608147,220,550,3.101369863
393,0.001166697,230,550,2.347945205
394,0.002119341,240,550,1.893150685
395,0.003552069,250,550,1.569863014
396,0.005426449,260,550,1.301369863
397,0.005426449,270,550,1.301369863
398,0.005426449,280,550,1.301369863
399,0.005426449,290,550,1.301369863
400,0.005426449,300,550,1.301369863
401,0.005426449,310,550,1.301369863
402,0.005426449,320,550,1.301369863
403,0.022005988,330,550,1.139726027
404,0.022005988,340,550,1.139726027
405,0.022005988,350,550,1.139726027
406,0.022005988,360,550,1.139726027
407,0.022005988,370,550,1.139726027
408,,40,575,inf
409,,50,575,inf
410,5.24E-75,60,575,1356.536986
411,4.16E-64,70,575,271.0958904
412,1.88E-38,80,575,72.54794521
413,3.87E-33,90,575,31.0109589
414,1.45E-28,100,575,26.00547945
415,1.55E-24,110,575,34.56712329
416,3.57E-21,120,575,47.15068493
417,2.19E-18,130,575,58.4630137
418,5.06E-16,140,575,70.44109589
419,5.37E-14,150,575,83.67945205
420,3.01E-12,160,575,98.24931507
421,9.57E-11,170,575,110.6465753
422,9.29E-10,180,575,58.8739726
423,9.79E-05,190,575,12.70136986
424,0.00019291,200,575,6.589041096
425,384.4935689,210,575,452.9506849
426,230.1598019,220,575,200.9260274
427,0.001789127,230,575,0.230136986
428,0.001789127,240,575,0.230136986
429,0.001789127,250,575,0.230136986
430,0.001789127,260,575,0.230136986
431,0.001789127,270,575,0.230136986
432,0.001789127,280,575,0.230136986
433,0.001789127,290,575,0.230136986
434,0.006116705,300,575,0.221917808
435,0.006116705,310,575,0.221917808
436,0.006116705,320,575,0.221917808
437,0.006116705,330,575,0.221917808
438,0.006116705,340,575,0.221917808
439,0.006116705,350,575,0.221917808
440,0.006116705,360,575,0.221917808
441,0.006116705,370,575,0.221917808
