,ratio_dmgs,dT,Tf,LTE
0,,40,275,inf
1,,50,275,inf
2,,60,275,inf
3,,70,275,inf
4,,80,275,inf
5,,90,275,inf
6,,100,275,inf
7,,110,275,inf
8,,120,275,inf
9,,130,275,inf
10,,140,275,inf
11,,150,275,inf
12,,160,275,inf
13,,170,275,inf
14,,180,275,inf
15,,190,275,inf
16,,200,275,inf
17,,210,275,inf
18,,220,275,inf
19,,230,275,inf
20,,240,275,inf
21,4.31E-11,250,275,2572.156164
22,2.49E-10,260,275,1405.093151
23,3.88E-08,270,275,612.3506849
24,1.12E-07,280,275,254.6
25,2.99E-07,290,275,116.1589041
26,7.27E-07,300,275,56.30410959
27,1.62E-06,310,275,28.69589041
28,3.28E-06,320,275,15.29863014
29,6.23E-06,330,275,8.487671233
30,1.10E-05,340,275,4.890410959
31,1.83E-05,350,275,2.920547945
32,2.88E-05,360,275,1.802739726
33,4.33E-05,370,275,1.150684932
34,,40,300,inf
35,,50,300,inf
36,,60,300,inf
37,,70,300,inf
38,,80,300,inf
39,,90,300,inf
40,,100,300,inf
41,,110,300,inf
42,,120,300,inf
43,,130,300,inf
44,,140,300,inf
45,,150,300,inf
46,,160,300,inf
47,,170,300,inf
48,,180,300,inf
49,,190,300,inf
50,,200,300,inf
51,,210,300,inf
52,,220,300,inf
53,3.06E-13,230,300,1885.747945
54,1.66E-10,240,300,1038.4
55,9.06E-10,250,300,587.8849315
56,4.13E-09,260,300,342.7123288
57,1.72E-08,270,300,147.9863014
58,5.05E-08,280,300,65.20547945
59,1.35E-07,290,300,31.13972603
60,3.30E-07,300,300,15.76438356
61,7.37E-07,310,300,8.38630137
62,1.52E-06,320,300,4.665753425
63,2.91E-06,330,300,2.704109589
64,5.22E-06,340,300,1.630136986
65,0.002007682,350,300,1.005479452
66,0.002140089,360,300,0.663013699
67,0.002297401,370,300,0.460273973
68,,40,325,inf
69,,50,325,inf
70,,60,325,inf
71,,70,325,inf
72,,80,325,inf
73,,90,325,inf
74,,100,325,inf
75,,110,325,inf
76,,120,325,inf
77,,130,325,inf
78,,140,325,inf
79,,150,325,inf
80,,160,325,inf
81,,170,325,inf
82,,180,325,inf
83,,190,325,inf
84,3.22E-17,200,325,2530.723288
85,7.64E-16,210,325,1384.473973
86,1.30E-12,220,325,773.3232877
87,1.14E-11,230,325,445.9260274
88,7.79E-11,240,325,262.3013699
89,4.28E-10,250,325,156.4164384
90,3.96E-09,260,325,139.4849315
91,7.94E-09,270,325,39.40273973
92,2.35E-08,280,325,18.21917808
93,6.33E-08,290,325,9.090410959
94,1.56E-07,300,325,4.805479452
95,3.51E-07,310,325,2.673972603
96,7.35E-07,320,325,1.561643836
97,0.000729615,330,325,0.950684932
98,0.000854483,340,325,0.619178082
99,0.001015972,350,325,0.432876712
100,0.001247995,360,325,0.328767123
101,0.001586296,370,325,0.268493151
102,,40,350,inf
103,,50,350,inf
104,,60,350,inf
105,,70,350,inf
106,,80,350,inf
107,,90,350,inf
108,,100,350,inf
109,,110,350,inf
110,,120,350,inf
111,,130,350,inf
112,,140,350,inf
113,,150,350,inf
114,,160,350,inf
115,,170,350,inf
116,8.60E-21,180,350,1841.117808
117,1.57E-16,190,350,1016.627397
118,3.58E-15,200,350,579.4849315
119,5.70E-14,210,350,339.2876712
120,6.55E-13,220,350,201.2383562
121,5.69E-12,230,350,121.0383562
122,3.88E-11,240,350,73.98630137
123,2.14E-10,250,350,46.14794521
124,1.57E-09,260,350,33.35342466
125,3.82E-09,270,350,11.41917808
126,1.15E-08,280,350,5.534246575
127,3.10E-08,290,350,2.893150685
128,0.000174182,300,350,1.608219178
129,0.000228535,310,350,0.956164384
130,0.000300053,320,350,0.61369863
131,0.000401282,330,350,0.42739726
132,0.000555932,340,350,0.326027397
133,0.000818157,350,350,0.276712329
134,0.001141778,360,350,0.238356164
135,0.001621663,370,350,0.216438356
136,,40,375,inf
137,,50,375,inf
138,,60,375,inf
139,,70,375,inf
140,,80,375,inf
141,,90,375,inf
142,,100,375,inf
143,,110,375,inf
144,,120,375,inf
145,,130,375,inf
146,,140,375,inf
147,6.65E-28,150,375,2425.882192
148,2.74E-25,160,375,1335.610959
149,4.28E-20,170,375,751.0876712
150,2.45E-18,180,375,437.2273973
151,8.53E-17,190,375,258.3671233
152,1.97E-15,200,375,158.2219178
153,3.03E-14,210,375,93.93150685
154,3.55E-13,220,375,59.66575342
155,3.03E-12,230,375,36.77260274
156,2.12E-11,240,375,24.13150685
