,dT,Tf,strainrange,df4,dc20,LTE,ratio_dmgs
0,50,275,0.00046885,2.28E-129,2.46E-19,inf,
1,60,275,0.00055577,8.45E-110,9.53E-18,inf,
2,70,275,0.00064358,1.13E-94,2.34E-16,inf,
3,80,275,0.00073218,1.21E-82,4.02E-15,inf,
4,90,275,0.00082154,7.33E-73,5.20E-14,inf,
5,100,275,0.00091161,9.13E-65,5.32E-13,inf,
6,110,275,0.00100238,5.73E-58,4.47E-12,inf,
7,120,275,0.00109383,3.43E-52,3.17E-11,inf,
8,130,275,0.00118595,3.12E-47,1.73E-10,inf,
9,140,275,0.00127863,6.08E-43,3.94E-10,inf,
10,150,275,0.00137181,3.32E-39,8.78E-10,inf,
11,160,275,0.0014655,2.93E-33,1.92E-09,inf,
12,170,275,0.00155971,1.47E-30,4.10E-09,inf,
13,180,275,0.00165442,3.62E-28,8.60E-09,inf,
14,190,275,0.00174966,4.86E-26,1.77E-08,inf,
15,200,275,0.0018454,3.87E-24,3.57E-08,inf,
16,210,275,0.00194166,1.96E-22,7.00E-08,inf,
17,220,275,0.00203843,6.70E-21,1.36E-07,inf,
18,230,275,0.00213571,1.62E-19,2.61E-07,inf,
19,240,275,0.0022334,2.88E-18,4.92E-07,inf,
20,250,275,0.00233146,3.90E-17,9.12E-07,inf,
21,260,275,0.00242988,4.16E-16,1.66E-06,1646.052055,2.50E-10
22,270,275,0.00253105,1.13E-13,3.86E-06,709.3890411,2.93E-08
23,280,275,0.00264116,7.75E-13,9.26E-06,295.7260274,8.36E-08
24,290,275,0.0027538,4.55E-12,2.02E-05,135.4547945,2.25E-07
25,300,275,0.00286881,2.31E-11,4.17E-05,65.66027397,5.55E-07
26,50,300,0.00047577,1.35E-127,7.52E-18,inf,
27,60,300,0.00056408,3.38E-108,2.31E-16,inf,
28,70,300,0.00065327,3.22E-93,4.64E-15,inf,
29,80,300,0.00074326,2.56E-81,6.68E-14,inf,
30,90,300,0.000834,1.20E-71,7.36E-13,inf,
31,100,300,0.00092546,1.19E-63,6.52E-12,inf,
32,110,300,0.00101756,6.09E-57,4.80E-11,inf,
33,120,300,0.0011102,2.98E-51,3.02E-10,inf,
34,130,300,0.00120337,4.86E-43,1.37E-09,inf,
35,140,300,0.00129706,4.33E-39,2.93E-09,inf,
36,150,300,0.00139127,1.18E-35,6.17E-09,inf,
37,160,300,0.00148601,1.22E-32,1.28E-08,inf,
38,170,300,0.00158126,5.47E-30,2.59E-08,inf,
39,180,300,0.00167703,1.22E-27,5.17E-08,inf,
40,190,300,0.00177333,1.51E-25,1.01E-07,inf,
41,200,300,0.00187014,1.11E-23,1.96E-07,inf,
42,210,300,0.00196742,5.22E-22,3.72E-07,inf,
43,220,300,0.00206507,1.66E-20,6.94E-07,inf,
44,230,300,0.00216309,3.74E-19,1.28E-06,2146.246575,2.93E-13
45,240,300,0.00226149,3.77E-16,2.31E-06,1184.361644,1.63E-10
46,250,300,0.00236026,3.66E-15,4.02E-06,682.2986301,9.11E-10
47,260,300,0.00245941,2.88E-14,6.86E-06,399.6082192,4.20E-09
48,270,300,0.00256316,2.02E-13,1.62E-05,168.9534247,1.25E-08
49,280,300,0.00267442,1.33E-12,3.65E-05,75.12328767,3.66E-08
50,290,300,0.00278823,7.54E-12,7.61E-05,36.01917808,9.92E-08
51,300,300,0.00290444,3.70E-11,0.000150295,18.23013699,2.46E-07
52,50,325,0.00048262,7.03E-126,1.75E-16,inf,
53,60,325,0.00057228,1.18E-106,4.36E-15,inf,
54,70,325,0.00066283,8.04E-92,7.29E-14,inf,
55,80,325,0.00075418,4.81E-80,8.94E-13,inf,
56,90,325,0.00084615,1.71E-70,8.52E-12,inf,
57,100,325,0.00093869,1.30E-62,6.60E-11,inf,
58,110,325,0.00103179,4.47E-52,4.30E-10,inf,
59,120,325,0.00112543,8.15E-47,2.41E-09,inf,
60,130,325,0.00121961,2.60E-42,9.36E-09,inf,
61,140,325,0.00131433,2.01E-38,1.90E-08,inf,
62,150,325,0.00140958,4.87E-35,3.81E-08,inf,
63,160,325,0.00150535,4.48E-32,7.51E-08,inf,
64,170,325,0.00160165,1.83E-29,1.46E-07,inf,
65,180,325,0.00169846,3.75E-27,2.78E-07,inf,
66,190,325,0.00179568,4.25E-25,5.22E-07,inf,
67,200,325,0.00189327,2.88E-23,9.66E-07,inf,
68,210,325,0.00199124,1.26E-21,1.76E-06,1556.241096,7.14E-16
69,220,325,0.00208958,3.92E-18,3.16E-06,866.3863014,1.24E-12
70,230,325,0.00218831,5.98E-17,5.43E-06,504.3452055,1.10E-11
71,240,325,0.00228742,7.00E-16,9.21E-06,297.4027397,7.60E-11
72,250,325,0.00238692,6.50E-15,1.54E-05,177.7506849,4.22E-10
73,260,325,0.00248682,4.91E-14,2.50E-05,109.6219178,1.97E-09
74,270,325,0.00259288,3.42E-13,6.13E-05,44.68219178,5.57E-09
75,280,325,0.00270521,2.17E-12,0.000131303,20.86575342,1.65E-08
76,290,325,0.00281997,1.18E-11,0.000262744,10.42739726,4.51E-08
77,300,325,0.00293723,5.63E-11,0.00049753,5.506849315,1.13E-07
78,50,350,0.00048946,3.31E-124,3.19E-15,inf,
79,60,350,0.00058043,3.70E-105,6.60E-14,inf,
80,70,350,0.00067213,1.70E-90,9.33E-13,inf,
81,80,350,0.0007645,1.35E-73,9.82E-12,inf,
82,90,350,0.00085748,1.02E-64,8.18E-11,inf,
83,100,350,0.00095104,2.14E-57,5.61E-10,inf,
84,110,350,0.00104517,2.86E-51,3.27E-09,inf,
85,120,350,0.00113986,4.44E-46,1.66E-08,inf,
86,130,350,0.00123508,1.23E-41,5.65E-08,inf,
87,140,350,0.00133084,8.41E-38,1.10E-07,inf,
88,150,350,0.00142714,1.83E-34,2.10E-07,inf,
89,160,350,0.00152391,1.52E-31,3.95E-07,inf,
90,170,350,0.00162106,5.62E-29,7.34E-07,inf,
91,180,350,0.00171859,1.05E-26,1.34E-06,2038.076712,7.79E-21
92,190,350,0.00181651,3.54E-22,2.40E-06,1139.717808,1.47E-16
93,200,350,0.0019148,1.42E-20,4.24E-06,645.8767123,3.36E-15
94,210,350,0.00201349,3.89E-19,7.22E-06,379.2191781,5.39E-14
95,220,350,0.00211256,7.60E-18,1.21E-05,225.5260274,6.25E-13
96,230,350,0.00221204,1.10E-16,2.01E-05,135.9753425,5.48E-12
97,240,350,0.00231191,1.24E-15,3.29E-05,83.31232877,3.77E-11
98,250,350,0.0024122,1.11E-14,5.26E-05,52.06575342,2.10E-10
99,260,350,0.00251292,8.07E-14,8.32E-05,32.95068493,9.70E-10
100,270,350,0.00262092,5.52E-13,0.000212983,12.86575342,2.59E-09
101,280,350,0.00273422,3.39E-12,0.000435445,6.293150685,7.79E-09
102,290,350,0.00284999,1.79E-11,0.000832382,3.293150685,2.16E-08
103,300,350,0.00296845,2.26E-07,0.001499084,1.82739726,0.000150595
104,50,375,0.0004959,1.15E-122,4.68E-14,inf,
105,60,375,0.00058788,3.78E-97,8.10E-13,inf,
106,70,375,0.00068061,1.90E-83,9.81E-12,inf,
107,80,375,0.00077402,1.34E-72,9.02E-11,inf,
108,90,375,0.00086804,8.08E-64,6.65E-10,inf,
109,100,375,0.00096265,1.40E-56,4.08E-09,inf,
110,110,375,0.00105783,1.59E-50,2.15E-08,inf,
111,120,375,0.00115357,2.14E-45,9.98E-08,inf,
112,130,375,0.00124983,5.23E-41,3.04E-07,inf,
113,140,375,0.00134653,3.17E-37,5.64E-07,inf,
114,150,375,0.0014436,6.12E-34,1.04E-06,2645.983562,5.91E-28
115,160,375,0.00154107,4.57E-31,1.87E-06,1461.517808,2.44E-25
116,170,375,0.00163893,1.30E-25,3.33E-06,822.460274,3.89E-20
117,180,375,0.00173718,1.28E-23,5.69E-06,481.6657534,2.25E-18
118,190,375,0.00183583,7.57E-22,9.60E-06,285.4630137,7.89E-17
119,200,375,0.00193487,2.88E-20,1.60E-05,171.3506849,1.80E-15
120,210,375,0.00203432,7.48E-19,2.63E-05,104.3479452,2.85E-14
121,220,375,0.00213418,1.39E-17,4.24E-05,64.67671233,3.29E-13
122,230,375,0.00223447,1.94E-16,6.68E-05,41.04109589,2.91E-12
123,240,375,0.0023352,2.10E-15,0.000100078,27.37808219,2.10E-11
124,250,375,0.00243632,1.81E-14,0.000146085,18.75616438,1.24E-10
125,260,375,0.00253806,1.29E-13,0.00026578,10.30958904,4.84E-10
126,270,375,0.00264744,8.60E-13,0.000672982,4.071232877,1.28E-09
127,280,375,0.0027621,4.32E-08,0.001306114,2.098630137,3.31E-05
128,290,375,0.00288075,1.17E-07,0.002303311,1.189041096,5.07E-05
129,300,375,0.0030043,2.90E-07,0.003705599,0.739726027,7.84E-05
130,50,400,0.00050158,1.03E-113,5.59E-13,inf,
131,60,400,0.00059462,4.97E-96,8.24E-12,inf,
132,70,400,0.0006884,1.92E-82,8.69E-11,inf,
133,80,400,0.00078286,1.08E-71,7.07E-10,inf,
134,90,400,0.00087794,5.39E-63,4.66E-09,inf,
135,100,400,0.00097361,7.95E-56,2.59E-08,inf,
136,110,400,0.00106979,7.78E-50,1.25E-07,inf,
137,120,400,0.00116638,9.04E-45,5.30E-07,inf,
138,130,400,0.00126337,1.92E-40,1.47E-06,1861.70411,1.30E-34
139,140,400,0.00136077,6.51E-33,2.63E-06,1042.010959,2.48E-27
140,150,400,0.00145857,5.10E-30,4.52E-06,605.6191781,1.13E-24
141,160,400,0.00155678,1.73E-27,7.64E-06,358.6493151,2.27E-22
142,170,400,0.00165539,2.92E-25,1.28E-05,214.7972603,2.29E-20
143,180,400,0.0017544,2.71E-23,2.10E-05,130.3150685,1.29E-18
144,190,400,0.00185383,1.52E-21,3.41E-05,80.28219178,4.44E-17
145,200,400,0.00195368,5.49E-20,5.43E-05,50.46849315,1.01E-15
146,210,400,0.00205397,1.36E-18,8.39E-05,32.65479452,1.63E-14
147,220,400,0.00215468,2.44E-17,0.000123825,22.1260274,1.97E-13
148,230,400,0.00225585,3.29E-16,0.000167864,16.32328767,1.96E-12
149,240,400,0.00235754,3.45E-15,0.000210092,13.04109589,1.64E-11
150,250,400,0.00245978,1.76E-09,0.00022363,12.25205479,7.87E-06
151,260,400,0.00256432,6.02E-09,0.000709636,3.863013699,8.49E-06
152,270,400,0.00267615,1.93E-08,0.001772274,1.547945205,1.09E-05
153,280,400,0.00279678,5.86E-08,0.003040912,0.901369863,1.93E-05
154,290,400,0.00292487,1.64E-07,0.004579195,0.6,3.58E-05
155,300,400,0.00306095,4.25E-07,0.00607448,0.452054795,6.99E-05
156,50,425,0.00050696,1.53E-112,5.60E-12,inf,
157,60,425,0.00060105,5.56E-95,7.15E-11,inf,
158,70,425,0.0006959,1.70E-81,6.64E-10,inf,
159,80,425,0.0007914,7.78E-71,4.82E-09,inf,
160,90,425,0.0008874,3.19E-62,2.87E-08,inf,
161,100,425,0.00098386,3.90E-55,1.45E-07,inf,
162,110,425,0.00108074,3.23E-49,6.39E-07,inf,
163,120,425,0.00117806,1.30E-39,2.51E-06,1092.221918,5.17E-34
164,130,425,0.00127581,8.61E-36,6.15E-06,445.5315068,1.40E-30
165,140,425,0.00137395,1.69E-32,1.03E-05,265.8383562,1.64E-27
166,150,425,0.00147251,1.23E-29,1.70E-05,161.2739726,7.22E-25
167,160,425,0.0015715,3.89E-27,2.76E-05,99.09589041,1.41E-22
168,170,425,0.00167101,6.19E-25,4.35E-05,62.93972603,1.42E-20
169,180,425,0.00177077,5.43E-23,6.85E-05,40.00821918,7.93E-19
170,190,425,0.00187104,2.90E-21,0.000104085,26.32328767,2.79E-17
171,200,425,0.00197175,1.01E-19,0.000147702,18.55068493,6.81E-16
172,210,425,0.002073,2.41E-18,0.00018922,14.47945205,1.27E-14
173,220,425,0.0021748,4.19E-17,0.000215412,12.72054795,1.95E-13
174,230,425,0.00227715,1.39E-10,0.000211183,12.97534247,6.60E-07
175,240,425,0.00238007,6.21E-10,0.000175308,15.63013699,3.54E-06
176,250,425,0.00248588,2.43E-09,0.000710043,3.860273973,3.42E-06
177,260,425,0.00259877,8.76E-09,0.001431063,1.915068493,6.12E-06
