,ratio_dmgs,dT,Tf,LTE
93,0.523848207,140,362,882.9506849
94,0.460897818,145,362,681.4849315
95,0.402869379,150,362,527.2547945
96,0.345808822,155,362,405.7726027
97,0.303530426,160,362,317.139726
98,0.261902891,165,362,246.1890411
99,0.225537309,170,362,191.260274
100,0.194091396,175,362,148.7643836
101,0.167090786,180,362,115.9013699
102,,100,375,inf
103,,105,375,inf
104,,110,375,inf
105,0.370065665,115,375,2354.131507
106,0.345193166,120,375,1740.632877
107,0.318257334,125,375,1296.893151
108,0.290052776,130,375,971.7178082
109,0.261625461,135,375,731.2383562
110,0.234222967,140,375,552.6849315
111,0.20823503,145,375,419.0849315
112,0.184021069,150,375,318.6082192
113,0.161907755,155,375,242.8684932
114,0.142036789,160,375,185.6767123
115,0.124420755,165,375,142.4383562
116,0.10895671,170,375,109.6958904
117,0.095590727,175,375,84.93150685
118,0.084262274,180,375,66.25753425
119,,100,387,inf
120,0.185856945,105,387,2673.709589
121,0.180491044,110,387,1940.567123
122,0.172465588,115,387,1418.934247
123,0.162284984,120,387,1043.4
124,0.150805613,125,387,771.5315068
125,0.138715633,130,387,573.5561644
126,0.126392575,135,387,428.1835616
127,0.114278452,140,387,320.9643836
128,0.102723335,145,387,241.6356164
129,0.091957257,150,387,182.7671233
130,0.082094884,155,387,138.9342466
131,0.07319136,160,387,106.1945205
132,0.065380559,165,387,81.80273973
133,0.058681363,170,387,63.63287671
134,0.053056295,175,387,50.09041096
135,0.048501992,180,387,40.02465753
136,0.081877602,100,400,1893.263014
137,0.081772237,105,400,1372.221918
138,0.080104949,110,400,999.6438356
139,0.078565636,115,400,742.6109589
140,0.073449399,120,400,539.290411
141,0.068978684,125,400,398.8958904
142,0.064156769,130,400,296.5890411
143,0.059216894,135,400,221.7342466
144,0.054338545,140,400,166.7369863
145,0.049034042,145,400,124.7753425
146,0.045301142,150,400,96.19726027
147,0.041411556,155,400,74.08493151
148,0.038029274,160,400,57.73424658
149,0.034656672,165,400,44.99452055
150,0.032982173,170,400,36.73424658
151,0.032517779,175,400,31.18356164
152,0.031724852,180,400,26.38082192
153,0.038870879,100,412,951.7917808
154,0.039180056,105,412,696.030137
155,0.038753217,110,412,511.030137
156,0.037732014,115,412,376.9287671
157,0.036264394,120,412,279.4520548
158,0.034496535,125,412,208.4
159,0.032546129,130,412,156.3863014
160,0.030517687,135,412,118.1561644
161,0.028547811,140,412,90.09315068
162,0.026737432,145,412,69.48493151
163,0.025127587,150,412,54.27123288
164,0.023802145,155,412,43.07945205
165,0.023511785,160,412,35.86027397
166,0.022316564,165,412,28.97534247
167,0.022293325,170,412,24.74246575
168,0.022872406,175,412,21.8109589
169,0.024952848,180,412,20.49863014
170,0.017829486,100,425,441.6219178
171,0.018165026,105,425,326.6438356
172,0.018196253,110,425,242.8164384
173,0.017974369,115,425,181.5178082
174,0.017554187,120,425,136.5369863
175,0.017011745,125,425,103.5232877
176,0.016432941,130,425,79.34246575
177,0.015865902,135,425,61.54520548
178,0.015369648,140,425,48.44383562
179,0.015020489,145,425,38.86027397
180,0.015265374,150,425,32.6739726
181,0.015022822,155,425,26.88767123
182,0.015522163,160,425,23.37260274
183,0.016481537,165,425,21.01917808
184,0.018019654,170,425,19.57534247
185,0.020268421,175,425,18.84931507
186,0.021954747,180,425,17.49041096
187,0.00895041,100,437,218.9205479
188,0.009246064,105,437,164.3232877
189,0.009404364,110,437,124.0821918
190,0.009468686,115,437,94.54246575
191,0.009476404,120,437,72.83013699
192,0.00945603,125,437,56.8
193,0.00945943,130,437,45.02465753
194,0.00944117,135,437,36.06575342
195,0.00975183,140,437,30.20273973
196,0.010150557,145,437,25.75890411
197,0.010812547,150,437,22.68493151
198,0.011828846,155,437,20.68767123
199,0.013634379,160,437,19.99726027
200,0.015354382,165,437,19.04931507
201,0.018534489,170,437,19.51232877
202,0.030595761,175,437,26.99178082
203,0.007758138,180,437,6.18630137
204,0.004430378,100,450,105.6931507
205,0.004686007,105,450,81.28219178
206,0.004906401,110,450,63.19178082
207,0.005112552,115,450,49.81643836
208,0.005431437,120,450,40.68767123
209,0.005612761,125,450,32.86027397
210,0.005979043,130,450,27.70958904
211,0.006487149,135,450,24.09315068
212,0.007201219,140,450,21.67123288
213,0.008199034,145,450,20.19178082
214,0.009571111,150,450,19.45753425
215,0.011409368,155,450,19.30136986
216,0.013790729,160,450,19.54794521
217,0.016764554,165,450,20.04109589
218,0.034266602,170,450,33.69863014
219,0.006715339,175,450,6.016438356
220,0.004831676,180,450,3.745205479
221,0.00246919,100,462,57.29041096
222,0.002703341,105,462,45.60547945
223,0.002956614,110,462,37.03013699
224,0.003248407,115,462,30.76986301
225,0.003608677,120,462,26.28493151
226,0.004076587,125,462,23.17808219
227,0.004785723,130,462,21.51506849
228,0.005551708,135,462,20.00273973
229,0.006694549,140,462,19.5260274
230,0.008130873,145,462,19.39452055
231,0.010146551,150,462,19.94794521
232,0.01255253,155,462,20.51232877
233,0.015401661,160,462,21.0739726
234,0.018441988,165,462,21.29041096
235,0.00546353,170,462,5.57260274
236,0.004390579,175,462,3.82739726
237,0.003471764,180,462,2.597260274
238,0.001473716,100,475,33.01917808
239,0.001716522,105,475,27.95616438
240,0.00201666,110,475,24.37808219
241,0.002403923,115,475,21.97534247
242,0.002917897,120,475,20.50958904
243,0.003608029,125,475,19.7890411
244,0.004530544,130,475,19.64931507
245,0.005697473,135,475,19.78356164
246,0.007284558,140,475,20.45479452
247,0.009332954,145,475,21.39178082
248,0.011405756,150,475,21.56986301
249,0.013922192,155,475,21.89315068
250,0.016659363,160,475,21.96164384
251,0.006332112,165,475,7.243835616
252,0.003688087,170,475,3.62739726
253,0.002806056,175,475,2.361643836
254,0.005206143,180,475,1.821917808
255,0.001081811,100,487,23.37808219
256,0.001362136,105,487,21.4
257,0.001737372,110,487,20.26027397
258,0.002245085,115,487,19.79452055
259,0.002964583,120,487,20.07671233
260,0.003828037,125,487,20.23561644
261,0.004979444,130,487,20.8109589
262,0.006397209,135,487,21.39452055
263,0.008072772,140,487,21.84383562
264,0.009977498,145,487,22.0739726
265,0.012073673,150,487,22.04931507
266,0.014325115,155,487,21.7890411
267,0.006359246,160,487,8.4
268,0.007290562,165,487,3.769863014
269,0.005841335,170,487,2.591780822
270,0.005017865,175,487,1.909589041
271,0.004359586,180,487,1.42739726
272,0.000973165,100,500,20.15616438
273,0.001321379,105,500,19.90136986
274,0.001811299,110,500,20.23835616
275,0.002454691,115,500,20.73424658
276,0.003282029,120,500,21.30684932
277,0.004303646,125,500,21.8
278,0.0055179,130,500,22.10958904
279,0.00701162,135,500,22.49041096
280,0.008459352,140,500,22.0109589
281,0.010175457,145,500,21.68493151
282,0.012074645,150,500,21.28219178
283,0.011777732,155,500,8.035616438
284,0.006381565,160,500,3.745205479
285,0.005200957,165,500,2.6
286,0.004524046,170,500,1.926027397
287,0.004187048,175,500,1.520547945
288,0.003863851,180,500,1.208219178
