,ratio_dmgs,dT,Tf,LTE
0,,100,300,inf
1,,105,300,inf
2,,110,300,inf
3,,115,300,inf
4,,120,300,inf
5,,125,300,inf
6,,130,300,inf
7,,135,300,inf
8,,140,300,inf
9,,145,300,inf
10,,150,300,inf
11,,155,300,inf
12,,160,300,inf
13,,165,300,inf
14,4.228868307,170,300,2477.210959
15,3.414864616,175,300,1980.158904
16,2.757599829,180,300,1573.830137
17,,100,312,inf
18,,105,312,inf
19,,110,312,inf
20,,115,312,inf
21,,120,312,inf
22,,125,312,inf
23,,130,312,inf
24,,135,312,inf
25,,140,312,inf
26,,145,312,inf
27,,150,312,inf
28,,155,312,inf
29,,160,312,inf
30,2.29698035,165,312,2176.778082
31,5.069907878,170,312,960.3808219
32,4.177548938,175,312,773.8849315
33,3.435268778,180,312,621.6027397
34,,100,325,inf
35,,105,325,inf
36,,110,325,inf
37,,115,325,inf
38,,120,325,inf
39,,125,325,inf
40,,130,325,inf
41,,135,325,inf
42,,140,325,inf
43,,145,325,inf
44,,150,325,inf
45,1.408794884,155,325,2224.912329
46,3.103267763,160,325,1083.808219
47,2.599472569,165,325,848.7287671
48,2.170660993,170,325,663.1424658
49,1.808560652,175,325,516.7534247
50,1.502589129,180,325,401.2054795
51,,100,337,inf
52,,105,337,inf
53,,110,337,inf
54,,115,337,inf
55,,120,337,inf
56,,125,337,inf
57,,130,337,inf
58,,135,337,inf
59,,140,337,inf
60,2.293870738,145,337,1589.810959
61,1.966806294,150,337,1213.323288
62,1.677616049,155,337,926.1424658
63,1.424698137,160,337,706.5808219
64,1.18815268,165,337,533.5068493
65,1.016357942,170,337,409.8657534
66,0.853769243,175,337,331.5342466
67,0.716072754,180,337,269.6246575
68,,100,350,inf
69,,105,350,inf
70,,110,350,inf
71,,115,350,inf
72,,120,350,inf
73,,125,350,inf
74,,130,350,inf
75,1.283724877,135,350,1677.317808
76,1.12702988,140,350,1247.435616
77,0.9825465,145,350,936.2109589
78,0.851856279,150,350,739.9890411
79,0.734178326,155,350,586.2821918
80,0.629449514,160,350,465.0246575
81,0.537744551,165,350,369.0246575
82,0.457947842,170,350,292.7150685
83,0.389049688,175,350,231.9452055
84,0.330012772,180,350,183.5643836
85,,100,362,inf
86,,105,362,inf
87,,110,362,inf
88,,115,362,inf
89,0.803325928,120,362,2614.10411
90,0.732477587,125,362,1972.210959
91,0.660751565,130,362,1499.70137
92,0.590648963,135,362,1147.783562
