Tf,40,46.73469388,53.46938776,60.20408163,66.93877551,73.67346939,80.40816327,87.14285714,93.87755102,100.6122449,107.3469388,114.0816327,120.8163265,127.5510204,134.2857143,141.0204082,147.755102,154.4897959,161.2244898,167.9591837,174.6938776,181.4285714,188.1632653,194.8979592,201.6326531,208.3673469,215.1020408,221.8367347,228.5714286,235.3061224,242.0408163,248.7755102,255.5102041,262.244898,268.9795918,275.7142857,282.4489796,289.1836735,295.9183673,302.6530612,309.3877551,316.122449,322.8571429,329.5918367,336.3265306,343.0612245,349.7959184,356.5306122,363.2653061,370
275,0.312730193,0.359599099,0.406736897,0.454085839,0.501594784,0.549234913,0.59698613,0.644832815,0.692763752,0.740770408,0.788845723,0.836983061,0.885180217,0.933431105,0.98170988,1.029991922,1.078261918,1.126519761,1.174764863,1.222995276,1.271210219,1.319408901,1.367590256,1.415753015,1.463897263,1.512020982,1.560118922,1.608204971,1.656210923,1.703926677,1.751331819,1.798519007,1.845595846,1.892575762,1.943151746,1.994310015,2.045603837,2.097038738,2.14861749,2.200357486,2.252272114,2.304380338,2.356787507,2.409465382,2.462243626,2.515318365,2.569082997,2.624064783,2.680963869,2.740793628
281.122449,0.313293945,0.360263241,0.407500167,0.454943955,0.502540058,0.550258508,0.598085642,0.646016713,0.694045286,0.742161446,0.790348754,0.838579725,0.886842916,0.935137315,0.98345243,1.031774841,1.080089029,1.128376774,1.176624712,1.224829802,1.273008841,1.321218374,1.369504213,1.417837436,1.466145702,1.514332407,1.562309693,1.610156319,1.65792608,1.705490011,1.752833895,1.800008136,1.847058055,1.897223643,1.948280594,1.99944834,2.050800555,2.102410093,2.154298306,2.20634999,2.258466031,2.310652119,2.363025466,2.415694469,2.468750104,2.522472044,2.577310002,2.633922267,2.693265695,2.759843022
287.244898,0.313848032,0.360912848,0.408243942,0.455779874,0.503465636,0.551271204,0.599184226,0.647202279,0.695320088,0.743527126,0.791802721,0.840108509,0.888427948,0.936762255,0.985108534,1.033460165,1.081804715,1.130120748,1.178392602,1.226617164,1.274814203,1.323051075,1.371384264,1.419782824,1.468144805,1.516326742,1.564196999,1.611867399,1.659460257,1.706902188,1.754182777,1.801326184,1.851153243,1.902208989,1.953349531,2.004603167,2.056056253,2.107800189,2.159868796,2.212102966,2.264365899,2.316673988,2.369164197,2.422048853,2.47563583,2.530320817,2.586693916,2.645650331,2.710690504,2.788897139
293.3673469,0.314393276,0.361549979,0.408971209,0.456596904,0.504373604,0.552271824,0.600276855,0.648382211,0.696581119,0.744862976,0.793206854,0.841571493,0.88993861,0.938309553,0.986683333,1.035056719,1.083422297,1.131765508,1.180075433,1.228349589,1.276600881,1.324873191,1.373206493,1.421586554,1.469914989,1.518039142,1.565814726,1.613361249,1.660826761,1.708172712,1.755390853,1.804877139,1.855929302,1.90708924,1.958354268,2.009748298,2.061332385,2.113180597,2.165335544,2.217664119,2.270060873,2.322567858,2.375346178,2.428720723,2.483178416,2.539282339,2.597858665,2.661434609,2.738691655,2.823438927
299.4897959,0.314930626,0.3621765,0.409684898,0.457398473,0.505266046,0.553259204,0.601358487,0.649549209,0.697821337,0.746164527,0.794560384,0.842970757,0.8913782,0.939782835,0.988181971,1.03657333,1.084955096,1.133324875,1.181680101,1.230019307,1.278343453,1.326650931,1.374946941,1.423246041,1.471476677,1.51950477,1.567196755,1.614660971,1.662038949,1.7093112,1.758451022,1.809460237,1.860602413,1.911877833,1.96329166,2.014859348,2.066593192,2.11852758,2.170712826,2.223099397,2.2756664,2.328478733,2.381770507,2.435980378,2.49177167,2.549944442,2.612071335,2.688387933,2.771901177,2.864405359
305.6122449,0.315460954,0.362794127,0.410388088,0.458188006,0.506145062,0.554232166,0.602424083,0.650695978,0.699033703,0.747427311,0.795862539,0.844308382,0.892750014,0.94118573,0.989609591,1.038018822,1.086416431,1.134812673,1.183213504,1.231618543,1.280016523,1.328350447,1.376581697,1.424758698,1.472850313,1.520758776,1.568377028,1.615789714,1.66311029,1.711920743,1.762873387,1.813959375,1.865193659,1.916589411,1.968160429,2.019914636,2.071807249,2.123824408,2.17603023,2.228503711,2.281315736,2.334606472,2.388710363,2.444208368,2.501971101,2.563127468,2.638040262,2.720315432,2.811350705,2.913048155
311.7346939,0.31598491,0.363404739,0.411083852,0.45896894,0.507012735,0.555189535,0.603468607,0.65181522,0.700211177,0.748646857,0.797112549,0.845586446,0.894057351,0.942521863,0.990971336,1.03940202,1.087819623,1.136242725,1.184682541,1.233139555,1.281594632,1.329937948,1.378086843,1.426121966,1.474056311,1.521836366,1.569389534,1.616770728,1.665278915,1.716188992,1.767223468,1.818394038,1.869725322,1.921240513,1.972962014,2.024896654,2.076949654,2.129066997,2.181348397,2.233984934,2.287195117,2.341221137,2.396543567,2.453938866,2.514553552,2.587725753,2.668768096,2.758325987,2.858314014,3.019654084
317.8571429,0.316503318,0.364010216,0.411775276,0.4597447,0.507871153,0.556130139,0.604487022,0.652899637,0.701346719,0.749818696,0.798309645,0.846807032,0.895303506,0.943794863,0.992272347,1.040731751,1.089177992,1.137628853,1.186094131,1.234574536,1.283052377,1.33137963,1.379438494,1.427333247,1.475115147,1.522772796,1.570268354,1.618501399,1.669380054,1.720384385,1.771514802,1.822784887,1.874221528,1.925850368,1.977701944,2.029794125,2.082005903,2.134283996,2.186736479,2.239701924,2.293557167,2.348692042,2.405793921,2.465916698,2.537429239,2.617311964,2.705423601,2.803708302,2.952833168,3.179508039
323.9795918,0.317016999,0.364612433,0.412465435,0.460518713,0.508722405,0.557052803,0.605474289,0.653941933,0.702433288,0.750938358,0.799453055,0.847972217,0.896491777,0.945008357,0.993517769,1.042016838,1.090504859,1.138984901,1.187455148,1.235915734,1.284364348,1.332641724,1.380612723,1.428390006,1.476047338,1.523603402,1.571589517,1.622433784,1.673410004,1.724517565,1.775761987,1.82715422,1.878708998,1.930442196,1.982391794,2.034604985,2.086995696,2.139508569,2.192312465,2.245876144,2.300748496,2.357527163,2.417185773,2.487103257,2.565889914,2.652650389,2.749302302,2.886556521,3.109008842,3.348599256
