,dT,Tf,strainrange,df4,dc20,LTE,ratio_dmgs
0,50,275,0.0004703,5.27E-08,2.43E-16,inf,
1,60,275,0.00055789,1.55E-08,2.57E-15,inf,
2,70,275,0.00064636,7.58E-09,2.12E-14,inf,
3,80,275,0.00073558,5.09E-09,1.44E-13,inf,
4,90,275,0.00082551,4.19E-09,8.30E-13,inf,
5,100,275,0.0009161,3.96E-09,4.20E-12,inf,
6,110,275,0.00100734,4.11E-09,1.90E-11,inf,
7,120,275,0.00109919,4.54E-09,7.80E-11,inf,
8,130,275,0.00119166,5.25E-09,2.94E-10,inf,
9,140,275,0.00128471,6.25E-09,1.03E-09,inf,
10,150,275,0.00137837,7.60E-09,3.36E-09,inf,
11,160,275,0.00147273,2.71E-08,9.54E-09,inf,
12,170,275,0.0015679,3.75E-08,1.82E-08,inf,
13,180,275,0.00166393,5.20E-08,3.39E-08,inf,
14,190,275,0.00176072,7.21E-08,6.23E-08,inf,
15,200,275,0.00185812,9.97E-08,1.12E-07,2712.591781,0.887862361
16,210,275,0.00195619,1.37E-07,1.99E-07,1908.049315,0.688666866
17,220,275,0.00205503,1.88E-07,3.49E-07,1341.347945,0.539002455
18,230,275,0.00215501,2.56E-07,6.03E-07,941.6876712,0.425337823
19,240,275,0.00225608,3.47E-07,1.03E-06,659.9287671,0.337040981
20,250,275,0.00235825,4.66E-07,1.74E-06,461.4082192,0.267863121
21,260,275,0.00246099,6.21E-07,2.91E-06,322.1068493,0.21327028
22,270,275,0.00256422,8.20E-07,4.82E-06,224.5369863,0.170323789
23,280,275,0.00266824,1.07E-06,7.87E-06,156.2191781,0.136594499
24,290,275,0.00277285,1.40E-06,1.27E-05,108.6246575,0.110149346
25,300,275,0.00287834,1.80E-06,2.01E-05,75.49041096,0.089328517
26,50,300,0.0004765,4.72E-08,3.87E-15,inf,
27,60,300,0.00056536,1.43E-08,3.57E-14,inf,
28,70,300,0.00065508,7.20E-09,2.60E-13,inf,
29,80,300,0.00074557,4.94E-09,1.58E-12,inf,
30,90,300,0.00083675,4.14E-09,8.22E-12,inf,
31,100,300,0.00092861,3.96E-09,3.79E-11,inf,
32,110,300,0.00102109,4.16E-09,1.57E-10,inf,
33,120,300,0.00111419,4.64E-09,5.94E-10,inf,
34,130,300,0.00120794,1.18E-08,2.07E-09,inf,
35,140,300,0.0013025,1.56E-08,6.76E-09,inf,
36,150,300,0.0013979,2.11E-08,2.07E-08,inf,
37,160,300,0.00149414,2.92E-08,5.01E-08,inf,
38,170,300,0.00159103,4.05E-08,9.06E-08,inf,
39,180,300,0.00168855,5.65E-08,1.61E-07,inf,
40,190,300,0.00178679,7.87E-08,2.83E-07,inf,
41,200,300,0.00188586,1.09E-07,4.91E-07,1858.320548,0.222645063
42,210,300,0.00198631,1.51E-07,8.39E-07,1244.668493,0.18034143
43,220,300,0.00208771,2.08E-07,1.42E-06,830.3671233,0.146331294
44,230,300,0.00218987,2.85E-07,2.39E-06,553.0931507,0.119181212
45,240,300,0.00229246,3.86E-07,3.97E-06,368.2547945,0.097287209
46,250,300,0.00239578,5.18E-07,6.50E-06,245.2986301,0.079737666
47,260,300,0.00249974,6.91E-07,1.05E-05,163.6520548,0.065601662
48,270,300,0.00260459,9.12E-07,1.68E-05,109.6328767,0.054357437
49,280,300,0.00271004,1.19E-06,2.64E-05,73.6739726,0.045165537
50,290,300,0.00281628,1.55E-06,4.12E-05,49.70958904,0.037662208
51,300,300,0.00292319,2.00E-06,6.35E-05,33.64109589,0.031434176
52,50,325,0.00048262,4.25E-08,4.95E-14,inf,
53,60,325,0.0005727,1.33E-08,4.04E-13,inf,
54,70,325,0.00066364,6.87E-09,2.63E-12,inf,
55,80,325,0.00075534,4.81E-09,1.44E-11,inf,
56,90,325,0.00084774,4.09E-09,6.87E-11,inf,
57,100,325,0.00094081,3.97E-09,2.90E-10,inf,
58,110,325,0.00103465,7.85E-09,1.11E-09,inf,
59,120,325,0.00112936,9.57E-09,3.92E-09,inf,
60,130,325,0.00122492,1.23E-08,1.28E-08,inf,
61,140,325,0.00132124,1.65E-08,3.92E-08,inf,
62,150,325,0.00141817,2.26E-08,1.13E-07,inf,
63,160,325,0.00151578,3.14E-08,2.33E-07,inf,
64,170,325,0.00161418,4.39E-08,4.04E-07,inf,
65,180,325,0.00171368,6.15E-08,6.92E-07,2200.323288,0.088938359
66,190,325,0.0018143,8.62E-08,1.17E-06,1404.482192,0.073435862
67,200,325,0.00191581,1.21E-07,1.97E-06,895.5068493,0.061031162
68,210,325,0.00201774,1.67E-07,3.29E-06,571.690411,0.050891189
69,220,325,0.00212033,2.30E-07,5.41E-06,366.2849315,0.042642812
70,230,325,0.0022236,3.15E-07,8.78E-06,235.769863,0.035870289
71,240,325,0.00232768,4.27E-07,1.41E-05,152.969863,0.030380039
72,250,325,0.00243248,5.74E-07,2.22E-05,99.93424658,0.025819274
73,260,325,0.00253813,7.66E-07,3.47E-05,65.79726027,0.022031636
74,270,325,0.00264441,1.01E-06,5.38E-05,43.58082192,0.01880542
75,280,325,0.00275108,1.32E-06,8.22E-05,29.12054795,0.016092228
76,290,325,0.00285825,1.71E-06,0.000124642,19.56164384,0.013750187
77,300,325,0.002966,2.20E-06,0.000186342,13.29041096,0.011814681
78,50,350,0.00048872,3.85E-08,5.23E-13,inf,
79,60,350,0.00058001,1.25E-08,3.82E-12,inf,
80,70,350,0.00067216,6.57E-09,2.25E-11,inf,
81,80,350,0.00076513,8.51E-09,1.13E-10,inf,
82,90,350,0.00085902,7.06E-09,4.94E-10,inf,
83,100,350,0.00095381,7.08E-09,1.94E-09,inf,
84,110,350,0.00104946,8.06E-09,6.93E-09,inf,
